?,#,Sector,Category,Sector_s,Sub Sector,Name,Marketcap,Price,Volumn,Blockchain,Change 24h,Change 7d,
512,513,Cryptos,Adult,Adult,,SpankChain SPANK,$4.48M,$0.01,"$13,932",Ethereum (ERC20),1.44%,4.87%,
1373,1379,Cryptos,Adult,Adult,,VIT VIT,$382.74K,$0.00,$46,Ethereum (ERC20),0.94%,-6.43%,
1444,1451,Cryptos,Adult,Adult,,MODEL-X-coin MODX,$203.07K,$0.02,$1,Ethereum (ERC20),71.23%,22.55%,
1539,1545,Cryptos,Adult,Adult,,TittieCoin TIT,$96.94K,$0.00,$6,Own Blockchain,-0.71%,-10.63%,
1673,1680,Cryptos,Adult,Adult,,BunnyToken BUNNY,$30.02K,$0.00,$176,Ethereum (ERC20),36.03%,-11.07%,
1695,1701,Cryptos,Adult,Adult,,Titcoin TIT,$24.87K,$0.00,$7,Own Blockchain,-0.61%,11.16%,
1719,1726,Cryptos,Adult,Adult,,AdultChain XXX,$19.2K,$0.00,$1,Own Blockchain,-0.71%,-11.70%,
1767,1774,Cryptos,Adult,Adult,,Bitcoin Adult BTAD,$10.34K,$0.00,$202,Own Blockchain,-16.95%,-35.98%,
2094,2118,Cryptos,Adult,Adult,,Sexcoin SXC,$382.73K,$0.01,$226,Own Blockchain,-0.44%,-13.64%,
2165,2190,Cryptos,Adult,Adult,,Animation Vision Cash AVH,$0,$0.00,$1,Own Blockchain,0.01%,7.53%,
26,27,Cryptos,Media,Advertising,,Basic Attention Token BAT,$408.65M,$0.32,"$43,601,737",Ethereum (ERC20),-1.51%,-10.13%,
317,318,Cryptos,Media,Advertising,,AdEx ADX,$10.93M,$0.15,"$198,251",Ethereum (ERC20),-1.05%,-15.70%,
440,441,Cryptos,Media,Advertising,,AdShares ADS,$5.99M,$0.18,"$29,435",Ethereum (ERC20),18.26%,-29.45%,
477,478,Cryptos,Media,Advertising,,adToken ADT,$5.16M,$0.01,"$145,759",Own Blockchain,-0.63%,-8.77%,
756,757,Cryptos,Media,Advertising,,Synereo AMP,$1.57M,$0.02,"$35,867",Omni,-4.52%,5.27%,
787,788,Cryptos,Media,Advertising,,HOQU HQX,$1.33M,$0.01,"$86,031",Ethereum (ERC20),10.81%,27.24%,
792,793,Cryptos,Media,Advertising,,ProChain PRA,$1.32M,$0.03,"$171,950",Own Blockchain,2.44%,-3.83%,
913,915,Cryptos,Media,Advertising,,Adbank ADB,$648.05K,$0.00,"$88,585",Ethereum (ERC20),-6.02%,-27.98%,
992,994,Cryptos,Media,Advertising,,Proton Token PTT,$383.74K,$0.00,"$147,822",Ethereum (ERC20),-2.69%,8.73%,
1027,1029,Cryptos,Media,Advertising,,Bigbom BBO,$314.13K,$0.00,"$293,266",Ethereum (ERC20),-1.04%,-14.19%,
1102,1105,Cryptos,Media,Advertising,,Webcoin WEB,$153.36K,$0.00,"$1,142,598",Waves,-4.36%,-25.17%,
1162,1165,Cryptos,Media,Advertising,,Absolute ABS,$65.7K,$0.01,"$4,611",Own Blockchain,-10.19%,3.98%,
1199,1202,Cryptos,Media,Advertising,,QUINADS QUIN,$33.31K,$0.00,"$24,769",Ethereum (ERC20),-0.96%,-11.47%,
1369,1375,Cryptos,Media,Advertising,,ATMChain ATM,$406.96K,$0.00,$6,Ethereum (ERC20),0.02%,14.81%,
1403,1410,Cryptos,Media,Advertising,,Kind Ads Token KIND,$288.97K,$0.01,$75,Ethereum (ERC20),-15.48%,-23.08%,
1406,1413,Cryptos,Media,Advertising,,RefToken REF,$276.4K,$0.28,$1,Ethereum (ERC20),-2.77%,-0.14%,
1451,1458,Cryptos,Media,Advertising,,AdCoin ACC,$193.86K,$0.01,$46,Own Blockchain,25.31%,-45.11%,
1457,1464,Cryptos,Media,Advertising,,CDX Network CDX,$183.15K,$0.01,$430,Own Blockchain,-3.45%,-30.59%,
1475,1481,Cryptos,Media,Advertising,,ClearCoin XCLR,$162.47K,$0.00,$39,Ethereum (ERC20),4.45%,-38.05%,
1531,1537,Cryptos,Media,Advertising,,Adzcoin ADZ,$105.05K,$0.00,$203,Own Blockchain,-18.78%,18.68%,
1602,1609,Cryptos,Media,Advertising,,Viuly VIU,$59.4K,$0.00,$23,Ethereum (ERC20),-3.48%,-10.63%,
1893,1905,Cryptos,Media,Advertising,,Atlas Protocol ATP,$0,$0.02,"$715,056",Own Blockchain,-1.71%,4.26%,
1930,1943,Cryptos,Media,Advertising,,FNB Protocol FNB,$0,$0.21,"$213,159",Ethereum (ERC20),-1.01%,-13.60%,
2013,2031,Cryptos,Media,Advertising,,Content and AD Network CAN,$0,$0.00,"$19,356",Own Blockchain,15.13%,-27.62%,
2027,2047,Cryptos,Media,Advertising,,HOT Token HOT,$0,$0.01,"$11,346",Stellar,1.27%,19.67%,
2119,2144,Cryptos,Media,Advertising,,Bidooh DOOH Token DOOH,$0,$0.00,$40,Ethereum (ERC20),-3.56%,-54.08%,
2171,2196,Cryptos,Media,Advertising,,WeToken WT,$0,$0.00,"$2,232",Ethereum (ERC223),0.79%,-15.80%,
2174,2199,Cryptos,Media,Advertising,,Ultra Salescloud UST,$0,$0.00,$7,Ethereum (ERC20),0.01%,0.02%,
2196,2222,Cryptos,Media,Advertising,,Hellenic Node HN,$0,$0.00,"$1,295",Own Blockchain,0.01%,0.01%,
1888,1898,Cryptos,Media,advertising,,Promotion Coin PC,$0,$0.00,"$947,239",Ethereum (ERC20),57.51%,44.65%,
